,income,num_store_purchases,marital_status
0,58138.0,4,Single
1,46344.0,2,Single
2,71613.0,10,Together
3,26646.0,4,Together
4,58293.0,6,Married
5,62513.0,10,Together
6,55635.0,7,Divorced
7,33454.0,4,Married
8,30351.0,2,Together
9,5648.0,0,Together
10,50898.0,2,Married
11,7500.0,3,Married
12,63033.0,8,Divorced
13,59354.0,5,Divorced
14,17323.0,3,Married
15,82800.0,12,Single
16,41850.0,3,Married
17,37760.0,6,Together
18,76995.0,9,Married
19,33812.0,3,Single
20,37040.0,5,Married
21,2447.0,0,Married
22,58607.0,9,Married
23,65324.0,9,Married
24,40689.0,5,Together
25,18589.0,3,Single
26,53359.0,4,Married
27,50898.0,0,Single
28,38360.0,4,Married
29,84618.0,10,Married
30,10979.0,3,Divorced
31,38620.0,3,Together
32,40548.0,4,Together
33,46610.0,6,Divorced
34,68657.0,9,Married
35,49389.0,3,Single
36,67353.0,12,Married
37,23718.0,2,Married
38,42429.0,3,Widow
39,48948.0,5,Divorced
40,80011.0,5,Married
41,20559.0,3,Married
42,21994.0,3,Together
43,50898.0,4,Single
44,7500.0,3,Married
45,79941.0,9,Single
46,7500.0,3,Married
47,41728.0,2,Together
48,50898.0,4,Single
49,72550.0,12,Married
50,65486.0,10,Widow
51,79143.0,13,Married
52,35790.0,3,Single
53,82582.0,7,Divorced
54,66373.0,10,Married
55,82384.0,13,Together
56,70287.0,10,Divorced
57,27938.0,4,Single
58,50898.0,3,Single
59,55954.0,6,Married
60,75777.0,11,Single
61,66653.0,12,Together
62,61823.0,10,Single
63,67680.0,8,Widow
64,70666.0,4,Together
65,25721.0,2,Married
66,32474.0,2,Together
67,88194.0,10,Single
68,69096.0,10,Together
69,74854.0,5,Together
70,66991.0,6,Married
71,50898.0,3,Married
72,65031.0,13,Married
73,60631.0,8,Married
74,28332.0,4,Married
75,40246.0,2,Divorced
76,75251.0,5,Married
77,75825.0,9,Single
78,26326.0,3,Together
79,56046.0,8,Together
80,29760.0,4,Single
81,26304.0,2,Married
82,23559.0,3,Married
83,38620.0,3,Together
84,81361.0,13,Divorced
85,29440.0,4,Married
86,36138.0,4,Married
87,50388.0,6,Single
88,79593.0,7,Married
89,54178.0,5,Together
90,50898.0,8,Married
91,50898.0,2,Single
92,50898.0,8,Together
93,42394.0,3,Single
94,23626.0,3,Married
95,30096.0,3,Married
96,47916.0,6,Widow
97,51813.0,3,Divorced
98,78497.0,12,Married
99,50150.0,7,Married
100,47823.0,3,Single
101,34554.0,3,Single
102,85693.0,11,Together
103,65846.0,6,Married
104,87195.0,5,Married
105,24594.0,3,Together
106,49096.0,4,Married
107,52413.0,12,Married
108,38557.0,3,Single
109,89058.0,4,Married
110,77298.0,11,Together
111,68126.0,5,Single
112,57288.0,8,Together
113,86037.0,11,Single
114,43974.0,6,Married
115,50785.0,3,Single
116,90765.0,5,Married
117,36550.0,5,Married
118,30753.0,3,Together
119,21918.0,3,Together
120,56129.0,10,Together
121,32557.0,3,Single
122,19510.0,3,Married
123,30992.0,3,Divorced
124,101970.0,13,Single
125,71488.0,7,Together
126,79607.0,6,Single
127,54348.0,4,Married
128,50898.0,7,Married
129,77376.0,10,Together
130,62998.0,5,Married
131,61331.0,6,Alone
132,73448.0,9,Married
133,50898.0,7,Married
134,41551.0,5,Married
135,62981.0,13,Together
136,9548.0,3,Divorced
137,33762.0,2,Married
138,35860.0,2,Alone
139,36921.0,3,Divorced
140,92859.0,12,Single
141,65104.0,7,Together
142,86111.0,10,Married
143,68352.0,9,Single
144,41883.0,3,Together
145,59809.0,6,Married
146,23957.0,3,Married
147,38547.0,2,Together
148,35688.0,4,Married
149,49605.0,4,Married
150,59354.0,7,Married
151,65747.0,6,Married
152,46344.0,5,Together
153,34176.0,4,Alone
154,61010.0,11,Together
155,69372.0,6,Together
156,49967.0,5,Single
157,60199.0,3,Single
158,55375.0,6,Together
159,80317.0,10,Single
160,30523.0,2,Single
161,70356.0,9,Married
162,23228.0,4,Married
163,74165.0,10,Divorced
164,157243.0,0,Married
165,43482.0,4,Together
166,62551.0,4,Divorced
167,52332.0,6,Divorced
168,66951.0,7,Single
169,26091.0,3,Together
170,33456.0,3,Together
171,28718.0,3,Married
172,50447.0,3,Married
173,53537.0,3,Together
174,52074.0,2,Single
175,80427.0,8,Married
176,83837.0,5,Married
177,38853.0,3,Married
178,38285.0,3,Together
179,78497.0,12,Married
180,51650.0,4,Married
181,16248.0,3,Married
182,66835.0,13,Married
183,30477.0,3,Married
184,28249.0,3,Married
185,25271.0,2,Married
186,32303.0,4,Single
187,61286.0,8,Married
188,74068.0,9,Married
189,45759.0,3,Married
190,24882.0,2,Together
191,66973.0,12,Together
192,36640.0,2,Divorced
193,38872.0,3,Married
194,51148.0,6,Married
195,31353.0,2,Married
196,69661.0,12,Married
